"title","url","course_num","subjects","grade_levels","length","type","uccsu","prereq","enroll_criteria","fulfillment","description"
"Advanced Journalism","https://curriculum.siprep.org/courses/advanced-journalism/","9415","College Preparatory Electives","11, 12","Year","Elective","G","Journalism or Journalism II","Strong interest in journalism, desktop publishing, editing, and writing. Admission is by application, and enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","Advanced Journalism is an 8th period course in which students will learn the skills necessary to serve as Editor-in-Chief for the school newspaper of St. Ignatius, Inside SI . The primary objective of this class is the publishing of six issues of Inside SI. As such, students will be involved in all areas of publication production, including creating the master schedule, generating feature topics, determining content, supervising reporters in each department (Affinity, Arts, Feature, Humor, Op-Ed, Outside SI News, SI News, Sports, and Spotlight), writing articles, editing, laying out pages for each issue, and overall design. In the process of generating content, writing their stories, and laying out newspaper pages, students will learn to use specialized software for word processing, page layout, graphic design, and distribution management. Students enrolled in this course will practice effective collaboration skills, lead training sessions, and will work to ensure Inside SI reflects the diverse and unique voices of all members of the SI community. Credit for this class will be included in the SI GPA calculation. Enrollment in this class is subject to Moderator Approval. Individuals who apply for and are accepted as Editor-in-Chief during the Spring semester will be enrolled by the moderators during the Fall semester of the school year. * This course is offered outside of the 9:00 am – 2:45 pm school day, 8 th period ONLY: This class meets weekly to discuss journalism topics and conduct planning for issues. During the two weeks prior to each issue’s production, students will meet every day after school for approximately 3 hours."
"Advanced Journalism II","https://curriculum.siprep.org/courses/advanced-journalism-ii/","9416","College Preparatory Electives","11, 12","Year","Elective","G","Journalism or Journalism-II, Advanced Journalism","Strong interest in journalism, desktop publishing, editing, and writing. Admission is by application, and enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms. alism, desktop publishing, editing, and writing. Admission is by application, and enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","Students enrolled in Advanced Journalism-II will serve as a second-year Editor-in-Chief for Inside SI . Advanced Journalism is a year-long 8th period course in which students will learn the skills necessary to serve as Editor-in-Chief for the school newspaper of St. Ignatius, Inside SI . The primary objective of this class is the publishing of six issues of Inside SI. As such, students will be involved in all areas of publication production, including creating the master schedule, generating feature topics, determining content, supervising reporters in each department (Affinity, Arts, Feature, Humor, Op-Ed, Outside SI News, SI News, Sports, and Spotlight), writing articles, editing, laying out pages for each issue, and overall design. In the process of generating content, writing their stories, and laying out newspaper pages, students will learn to use specialized software for word processing, page layout, graphic design, and distribution management. Students enrolled in this course will practice effective collaboration skills, lead training sessions, and will work to ensure Inside SI reflects the diverse and unique voices of all members of the SI community. This course will NOT be included in the SI GPA calculation. Enrollment in this class is subject to Moderator Approval. Individuals who apply for and are accepted as Editor-in-Chief during the Spring semester will be enrolled by the moderators during the Fall semester of the school year. * This course is offered outside of the 9:00 am – 2:45 pm school day, 8 th period ONLY: This class meets weekly to discuss journalism topics and conduct planning for issues. During the two weeks prior to each issue’s production, students will meet every day after school for approximately 3 hours."
"Advanced Placement Science Lab – Biology","https://curriculum.siprep.org/courses/advanced-placement-science-lab-biology/","3067","Science","10, 11, 12","Year","AP/Honors, Elective","","Concurrent enrollment in AP Biology","Students who qualify for and enroll in AP Biology must also enroll in this course.","","AP Science courses require an intensive laboratory component extending beyond the regular class meetings. Once per week for 50 minutes, the Laboratory course will meet outside of the regular bell schedule. Meetings will occur before or after school. Students who anticipate a scheduling conflict in the time period before school are asked to contact the Science Department chair. *This course receives a half-credit – graded pass/fail"
"Advanced Placement Science Lab – Chemistry","https://curriculum.siprep.org/courses/advanced-placement-science-lab-chemistry/","3068","Science","10, 11, 12","Year","AP/Honors, Elective","","Concurrent enrollment in AP Chemistry","Students who qualify for and enroll in AP Chemistry must also enroll in this course.","","AP Science courses require an intensive laboratory component extending beyond the regular class meetings. Once per week for 50 minutes, the Laboratory course will meet outside of the regular bell schedule. Meetings will occur before or after school. Students who anticipate a scheduling conflict in the time period before school are asked to contact the Science Department chair. *This course receives a half-credit – graded pass/fail"
"Advanced Placement Science Lab – Physics","https://curriculum.siprep.org/courses/advanced-placement-science-lab-physics/","3069","Science","10, 11, 12","Year","AP/Honors, Elective","","Concurrent enrollment in AP Physics","Students who qualify for and enroll in AP Physics must also enroll in this course.","","AP Science courses require an intensive laboratory component extending beyond the regular class meetings. Once per week for 50 minutes, the Laboratory course will meet outside of the regular bell schedule. Meetings will occur before or after school. Students who anticipate a scheduling conflict in the time period before school are asked to contact the Science Department chair. *This course receives a half-credit – graded pass/fail"
"Advanced Science Research Project","https://curriculum.siprep.org/courses/advanced-science-research-project-physical-or-life-science/","3065","Science","9","Year","Elective","G","Completion of one semester Science Research Project","Permission of instructor or Department Chair","","(Physical or Life Science) Students perform one or more additional independent science or engineering research projects, beyond those completed in the first semester Science Research Project course, or perform a substantial extension of a project completed in the previous course. This is an independent study course, with flexible meeting times that will be arranged to fit the schedules of the students. This course is taken in addition to the science requirement for graduation. Enrollment in Advanced Science Research does not qualify a student for a study period during the regular academic day. *Taken as an independent study with the guidance of science teacher"
"Advanced Yearbook Design and Publication A/B","https://curriculum.siprep.org/courses/advanced-yearbook-design-and-publication-a-b/","9425, 9426","College Preparatory Electives","10, 11, 12","Year","Elective","G","None","Strong interest in graphic design, photography, desktop publishing. Admission is by application, and enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","The Ignatian is the yearbook of St. Ignatius College Preparatory, published annually and distributed to all students and staff. Yearbook Design and Publication is a challenging course in which the primary objective is for students to create and produce a yearbook that documents the unique history of a school year. This course provides students the opportunity to develop and improve leadership and collaboration skills, compassionately tackle social justice issues and the nuances of equity and inclusion, strengthen their analytical and problem solving skills, enhance communication skills, work with advanced technology, and take on tremendous responsibility while working under multiple hard deadlines. Yearbook students learn and practice the fundamentals of theme development, journalistic writing, photojournalism, graphic design, and distribution management. Yearbook students act as ambassadors to all members of the school community, working together to ensure that each of the diverse and unique voices at St. Ignatius is represented in a thoughtful, creative, and original way in the yearbook. Yearbook students will instruct, schedule, and supervise staff members working in each section of the yearbook (Academics, Arts, Athletics, Clubs, Freshman, Junior, Photography, Senior, Sophomore, Spirituality, Student Life, Writing). Yearbook students will be required to attend regular meetings, as well as to photograph events outside of school. Selected students enrolled in the Advanced course will develop the annual yearbook theme in consultation with the moderator(s) and principal, design the cover and endsheets in consultation with the publisher’s art department, build the yearbook ladder and index, liase with publisher representative(s) and technical support staff from Varsity Yearbooks, and solicit feedback on and approval of all pages from selected adults in the St. Ignatius community, making suggested corrections before the pages are submitted to the publisher. Students enrolled in the Advanced course may be required to attend additional meetings during the school year and yearbook camp during the summer before enrollment. This course is offered outside of the 9:00 am – 2:45 pm school day, 8 th period ONLY First Year Taken : ADVANCED YEARBOOK DESIGN AND PUBLICATION A (9425) Second Year Taken : ADVANCED YEARBOOK DESIGN AND PUBLICATION B (9426) – This course will NOT be included in the SI GPA calculation."
"Algebra 1","https://curriculum.siprep.org/courses/algebra-1/","2100","Mathematics","9","Year","Core Lower-Division","C","None","Algebra Placement Examination, Entrance Examination","Required for graduation","Algebra 1 is a traditional course in elementary algebra with an emphasis on solving problems. The course falls into four basic parts: 1) the four operations on real numbers and their use in the solution of simple equations and related problems; 2) polynomials, factoring, and fractions, leading to the solution of more complicated problems; 3) inequalities, functions and relations, and systems of open sentences; and 4) irrational numbers and quadratic functions and equations. A Texas Instruments TI-83 or TI-84 series graphing calculator is required."
"Algebra 1 Accelerated","https://curriculum.siprep.org/courses/algebra-1-accelerated/","2104","Mathematics","9","Year","Core Lower-Division","C","Some experience with Algebra concepts in 8th grade","Approval of Department Chair; entrance examination recommending performance on departmental placement exam in April, prior to enrollment","Required for graduation","The course follows the general goals and objectives of the regular Algebra 1 course. In addition, advanced topics of algebra are introduced: absolute value equations and inequalities, linear programming, polynomial functions and their graphs, analytic techniques to explore various curves, and an introduction to topics of geometry and trigonometry. Finally, students will be given challenging problems appropriate for an accelerated course. A Texas Instruments TI-83 or TI-84 series graphing calculator is required."
"Algebra 2","https://curriculum.siprep.org/courses/algebra-2/","2300","Mathematics","11","Year","Core Lower-Division","C","Algebra 1, Geometry","None","Required for graduation","The first part of the course reviews basic terminology, notation, concepts, skills, and application of elementary algebra by examination of the real number system. This part includes real number concepts and skills involving operations with positive and negative numbers and zero, solution of linear equations and inequalities, one and two variable equations, solving verbal problems, properties of polynomials and rational expressions. Ideas such as set, variable, number line, open sentence, ordered pair, equivalent sentences, and Cartesian coordinate system are studied and the student is required to demonstrate ability to solve problems involving these concepts. The course also includes the concepts of function and relation and emphasizes linear and quadratic relations and functions. The text chapters discussing this material employ symbols, concepts, and methods presented in the earlier chapters. Thus, the course continually grows and builds on learned material. The course also includes discussions on exponential functions and logarithms, and a short look at trigonometry. A Texas Instruments TI-83 or TI-84 series graphing calculator is required."
"Algebra 2 Honors","https://curriculum.siprep.org/courses/algebra-2-honors/","2110","Mathematics","9","Year","AP/Honors, Core Lower-Division","C","Algebra 1 or equivalent in 8th grade","Approval of Department Chair; entrance examination recommending performance on departmental placement exam in April, prior to enrollment","Required for graduation","This course is offered to entering freshmen who have demonstrated mastery of Algebra 1 content. The course includes in-depth analysis of higher degree polynomials; analysis, interpretation and graphing of rational functions, including asymptotic behavior; an in-depth consideration of the conic sections, including transformations. Students who successfully complete Algebra 2 Honors typically enroll in Precalculus Honors after the completion of their Geometry course. A Texas Instruments TI-83 or TI-84 series graphing calculator is required. * Class receives honors weighting in SI weighted GPA"
"AP Biology","https://curriculum.siprep.org/courses/ap-biology-life-science/","3014","Science","10, 11, 12","Year","AP/Honors, Elective","D","Science GPA of 3.3 or higher, with successful completion of Biology, Chemistry, Physics and Overall GPA of 3.3 or higher. Students not meeting these criteria may submit an appeal.","","One of two years of science; UC approved laboratory science course","The AP Biology (Life Science) course is equivalent in content, depth, and complexity to an introductory biology course at the college level. This course is designed to prepare the student to excel on the AP exam offered in May, and follows the AP curriculum. AP Biology is an in-depth, content-intensive study of biological principles that allows students the opportunity to engage hands-on in scientific experimentation. Units of study include but are not limited to evolution and natural selection, the chemistry of life, cell structure and function, cellular energetics, cell communication and the cell cycle, heredity, gene expression and regulation, and ecology. Students are required to take the Advanced Placement exam in May. Students are required to complete an assignment over the summer due on the first day of school. Corequisite – Students enrolling in this course must also enroll in the corresponding AP Science Laboratory course, which meets once per week for 50 minutes outside of the regular bell schedule. Meetings will occur before or after school. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
